Designator,Mid X,Mid Y,Layer,Rotation
C1,38.318440,29.220160,top,270.000000
C2,94.345760,22.854920,top,180.000000
C3,50.515520,42.245280,top,90.000000
C4,34.112200,36.779200,top,90.000000
C5,43.688000,45.532040,top,90.000000
C6,80.576720,33.467040,top,180.000000
IC1,98.821240,26.416000,top,90.000000
IC2,30.886400,42.024300,top,180.000000
J2,58.252360,43.108880,top,0.000000
R2,66.243200,45.732700,top,0.000000
R3,66.192400,43.192700,top,0.000000
R4,66.192400,40.652700,top,0.000000
U1,83.159600,41.313100,top,270.000000
